Manufacturer,Model,Description,Transmission,Manual or Automatic,Engine Capacity,Fuel Type,Powertrain,Engine Power (PS),Engine Power (Kw),Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Euro Standard,Diesel VED Supplement,Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Noise Level dB(A),Date of change,
FIAT,500X MY23,500X 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,29 September 2023,
FIAT,500X MY23,500X 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,29 September 2023,
FIAT,500X MY23,500X Top 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,29 September 2023,
FIAT,500X MY23,500XTop 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,41.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,29 September 2023,
FIAT,500X MY24,500X 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY24,500X 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY24,500X Top 1.5 130hp Hybrid 48V DDCT (VL),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,44.5,66.3,59.1,45.1,52.2,0,6.4,4.3,4.8,6.3,5.4,0,122,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,500X MY24,500XTop 1.5 130hp Hybrid 48V DDCT (VH),SA7,Manual,1469,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),131,96,0,,,,Euro 6d,False,WLTP,41.5,54.6,51.6,39.8,45.8,0,6.8,5.2,5.5,7.1,6.2,0,139,0,,,,,403,30,7,,0.14,60,60,69.0,17 October 2024,
FIAT,Fiat 600 Hybrid MY24 ,Fiat 600 Hybrid 136HP 6-Speed Auto (VL),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,0,,,,Euro 6 EA,False,WLTP,68.9,72.4,67.3,52.3,62.8,0,4.1,3.9,4.2,5.4,4.5,0,102,0,,,,,422,25,14,,1.30,60,60,66.0,17 October 2024,
FIAT,Fiat 600 Hybrid MY24 ,Fiat 600 Hybrid 136HP 6-Speed Auto (VH),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,0,,,,Euro 6 EA,False,WLTP,60.1,57.6,55.4,42.8,51.4,0,4.7,4.9,5.1,6.6,5.5,0,125,0,,,,,422,25,14,,1.30,60,60,66.0,17 October 2024,
FIAT,Fiat 600 Hybrid MY24 ,Fiat 600 Hybrid La Prima 136HP 6-Speed Auto (VL),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,0,,,,Euro 6 EA,False,WLTP,68.9,72.4,67.3,52.3,62.8,0,4.1,3.9,4.2,5.4,4.5,0,102,0,,,,,422,25,14,,1.30,60,60,66.0,17 October 2024,
FIAT,Fiat 600 Hybrid MY24 ,Fiat 600 Hybrid La Prima 136HP 6-Speed Auto (VH),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),136,100,0,,,,Euro 6 EA,False,WLTP,60.1,57.6,55.4,42.8,51.4,0,4.7,4.9,5.1,6.6,5.5,0,125,0,,,,,422,25,14,,1.30,60,60,66.0,17 October 2024,
FIAT,Fiat 600 Hybrid MY24 ,Fiat 600 Hybrid 100HP 6-Speed Auto (VL),A6,Automatic,1199,Petrol Electric,Mild Hybrid Electric Vehicle (MHEV),100,74,0,,,,Euro 6 EA,False,WLTP,76.3,67.3,68.9,52.3,61.4,0,3.7,4.2,4.1,5.4,4.6,0,102,0,,,,,358,21,16,,1.74,60,60,66.0,17 October 2024,
